ID,Obec,VoliËi,Ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,OB»AN… 2011-SPRAVEDL. PRO LIDI,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘,-
553433,Babylon,230,171,169,19,0,0,8,0,17,20,0,1,3,0,0,18,0,0,4,48,1,8,0,2,0,0,20,0,-
553441,BÏl· nad Radbuzou,1†394,677,671,54,1,0,53,1,100,81,8,5,4,1,0,38,0,1,7,205,0,11,0,1,0,1,93,6,-
553450,BlÌûejov,1†129,621,619,62,1,1,41,0,33,55,5,9,9,1,2,55,0,0,10,205,0,13,0,8,4,4,99,2,-
566136,BrnÌ¯ov,294,170,170,40,0,0,11,0,9,6,0,2,0,0,1,13,0,0,4,50,0,11,0,0,4,1,18,0,-
553506,Bukovec,79,44,44,7,0,0,7,0,3,3,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,2,0,-
566080,»eËovice,62,24,24,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,10,0,0,0,0,0,0,8,0,-
553514,»ermn·,203,134,134,26,2,0,11,1,10,15,2,1,1,0,0,8,0,0,3,38,0,7,0,0,0,0,9,0,-
566098,»ernovice,171,71,69,6,0,0,14,0,6,9,1,0,1,0,1,0,0,0,0,18,0,4,0,0,0,1,8,0,-
553549,»esk· Kubice,549,270,268,14,3,0,27,1,20,31,2,5,1,0,0,24,0,0,12,80,0,9,0,3,0,0,36,0,-
553557,DÌly,315,219,217,24,0,0,20,0,12,21,1,1,0,0,1,16,0,0,12,78,0,12,0,0,1,3,15,0,-
553425,Domaûlice,8†554,5†094,5†073,592,6,2,449,6,278,508,53,55,35,0,13,483,5,2,168,1†369,5,377,4,44,6,7,595,11,-
553573,DrahotÌn,152,64,64,4,0,0,5,0,6,5,0,0,1,0,0,2,0,0,1,32,0,1,0,0,0,0,7,0,-
553581,Draûenov,330,219,219,18,0,0,18,0,10,14,1,3,5,0,0,10,0,0,3,81,0,21,0,3,3,0,28,1,-
553620,Hlohov·,220,143,142,19,0,0,15,0,6,15,0,5,2,0,0,17,0,0,8,30,1,3,0,1,0,0,20,0,-
566641,HlohovËice,157,108,108,5,0,0,9,0,6,16,1,3,2,0,0,7,0,0,0,28,0,2,2,0,3,0,24,0,-
553654,Hol˝öov,3†970,2†171,2†161,215,4,0,191,1,133,185,17,21,29,5,8,182,2,0,54,703,4,21,1,8,1,6,359,11,-
566276,Hora SvatÈho V·clava,71,50,50,10,0,0,9,0,6,0,0,0,1,0,0,4,0,0,0,13,1,4,0,0,0,0,2,0,-
553662,HornÌ Kamenice,191,130,129,14,1,0,21,0,12,9,0,1,2,0,0,14,0,0,3,34,0,3,0,2,0,1,12,0,-
553671,Horöovsk˝ T˝n,3†933,2†106,2†093,281,7,6,135,6,102,242,27,33,24,1,4,151,1,1,56,701,6,51,0,6,6,2,239,5,-
553689,HostouÚ,1†000,442,438,30,0,0,36,0,25,64,4,8,5,0,0,37,0,0,4,152,2,12,2,3,0,1,52,1,-
566179,HradiötÏ,125,81,81,18,0,0,10,1,10,6,0,2,0,0,0,7,1,0,2,21,0,1,0,0,0,0,2,0,-
566331,HvoûÔany,29,12,12,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,-
553727,Chocomyöl,99,63,63,0,0,0,12,0,10,14,0,0,1,0,0,1,0,0,0,18,0,3,0,0,0,0,4,0,-
553735,Chodov,607,381,381,34,0,0,37,1,14,57,4,23,4,1,1,19,0,1,6,104,2,18,0,3,2,0,48,2,-
553743,Chodsk· Lhota,332,201,201,28,0,0,17,0,12,21,0,2,4,0,0,15,0,0,5,54,0,22,0,1,2,0,18,0,-
553751,Chrastavice,298,217,217,18,1,0,13,2,12,14,2,0,3,2,1,26,0,0,9,60,0,39,0,4,0,0,11,0,-
566144,Kanice,159,122,122,24,0,0,12,0,8,10,2,1,0,0,0,5,0,0,2,49,0,1,0,0,0,0,8,0,-
553778,KaniËky,27,23,23,1,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,11,0,4,0,0,0,0,0,0,-
553786,KdynÏ,4†055,2†417,2†399,429,1,2,206,6,71,201,17,33,21,3,3,178,0,3,73,671,4,116,1,15,5,5,331,4,-
